stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
1592,831592,Bollinger Canyon Rd + Aranda Dr,Bollinger Canyon Road and Aranda Drive,37.762241,-121.981,0,,1
1594,831594,Bollinger Canyon Rd + Ascension Dr,Bollinger Canyon Road and Ascension Drive,37.76521,-121.984337,0,,1
1584,831584,Bollinger Canyon Rd + Ascension Dr,Bollinger Canyon Road and Ascension Drive,37.7653,-121.984715,0,,1
2033,832033,Bollinger Canyon Rd + Bluehart Way,Bollinger Canyon Road and Bluehart Way,37.77024,-121.909355,0,,1
2041,832041,Bollinger Canyon Rd + Chanterella Dr,Bollinger Canyon Road and Chanterella Drive,37.771801,-121.93868,0,,1
2038,832038,Bollinger Canyon Rd + Chanterella Dr,Bollinger Canyon Road and Chanterella Drive,37.772178,-121.94017,0,,1
2029,832029,Bollinger Canyon Rd + Dougherty Rd,Bollinger Canyon Road and Dougherty Road,37.74972,-121.913449,0,,1
1597,831597,Bollinger Canyon Rd + Fountainhead Dr,Bollinger Canyon Road and Fountainhead Drive,37.769878,-121.993537,0,,1
2031,832031,Bollinger Canyon Rd + Harcourt Way,Bollinger Canyon Road and Harcourt Way,37.759736,-121.904905,0,,0
2048,832048,Bollinger Canyon Rd + Harcourt Way,Bollinger Canyon Road and Harcourt Way,37.758823,-121.905859,0,,1
2047,832047,Bollinger Canyon Rd + Albion Rd,Bollinger Canyon Road and Albion Road,37.765956,-121.905024,0,,1
2000,832000,Bollinger Canyon Rd + Market Pl,Bollinger Canyon Road and Market Place,37.764636,-121.953404,0,,1
2098,832098,Bollinger Canyon Rd + Marsh Dr,Bollinger Canyon Road and Marsh Drive,37.760341,-121.978755,0,,1
1595,831595,Bollinger Canyon Rd + Marsh Dr,Bollinger Canyon Road and Marsh Drive,37.766551,-121.986364,0,,1
1583,831583,Bollinger Canyon Rd + Marsh Dr,Bollinger Canyon Road and Marsh Drive,37.766456,-121.986762,0,,1
1587,831587,Bollinger Canyon Rd + Morgan Dr,Bollinger Canyon Road and Morgan Drive,37.759265,-121.977045,0,,1
2034,832034,Bollinger Canyon Rd + Monarch Rd,Bollinger Canyon Road and Monarch Road,37.771733,-121.912215,0,,1
2036,832036,Bollinger Canyon Rd + N Wedgewood Rd,Bollinger Canyon Road and North Wedgewood Road,37.773856,-121.922369,0,,1
1586,831586,Bollinger Canyon Rd + Paddock Dr,Bollinger Canyon Road and Paddock Drive,37.760221,-121.979014,0,,0
2045,832045,Bollinger Canyon Rd + S Monarch Rd,Bollinger Canyon Road and South Monarch Road,37.770685,-121.911402,0,,1
2044,832044,Bollinger Canyon Rd + Stoneleaf Rd,Bollinger Canyon Road and Stoneleaf Road,37.773088,-121.91752,0,,1
2043,832043,Bollinger Canyon Rd + S Wedgewood Rd,Bollinger Canyon Road and South Wedgewood Road,37.773403,-121.9207,0,,1
1588,831588,Bollinger Canyon Rd + Talavera Dr,Bollinger Canyon Road and Talavera Drive,37.759336,-121.970867,0,,1
1590,831590,Bollinger Canyon Rd + Talavera Dr,Bollinger Canyon Road and Talavera Drive,37.759615,-121.970967,0,,1
2040,832040,Bollinger Canyon Rd + Canyon View Cir,Bollinger Canyon Road and Canyon View Circle,37.771468,-121.945099,0,,1
2049,832049,Bollinger Canyon Rd + Watermill Rd,Bollinger Canyon Road and Watermill Road,37.754413,-121.90868,0,,1
2002,832002,Bollinger Canyon Rd + Windemere Pkwy,Bollinger Canyon Road and Windemere Parkway,37.763803,-121.903872,0,,1
2001,832001,Bollinger Canyon Rd + Windemere Pkwy,Bollinger Canyon Road and Windemere Parkway,37.762641,-121.904349,0,,1
2082,832082,Bollinger Canyon Rd + Bishop Ranch 1,Bollinger Canyon Road and Bishop Ranch One,37.762606,-121.956622,0,,1
2035,832035,Bollinger Canyon Rd + Briar Oaks Dr,Bollinger Canyon Road and Briar Oaks Drive,37.773868,-121.918714,0,,1
2039,832039,Bollinger Canyon Rd + Canyon Lakes Dr,Bollinger Canyon Road and Canyon Lakes Drive,37.771598,-121.945654,0,,1
1580,831580,Bollinger Canyon Rd + Crow Canyon Rd,Bollinger Canyon Road and Crow Canyon Road,37.772301,-121.99596,0,,1
1582,831582,Bollinger Canyon Rd + Dos Rios Dr,Bollinger Canyon Road and Dos Rios Drive,37.76757,-121.988649,0,,1
1596,831596,Bollinger Canyon Rd + Dos Rios Dr,Bollinger Canyon Road and Dos Rios Drive,37.767688,-121.98849,0,,1
2030,832030,Bollinger Canyon Rd + E Branch Pkwy,Bollinger Canyon Road and East Branch Parkway,37.753865,-121.90862,0,,1
2042,832042,Bollinger Canyon Rd + Gale Ridge Rd,Bollinger Canyon Road and Gale Ridge Road,37.772298,-121.930792,0,,1
2037,832037,Bollinger Canyon Rd + Gale Ridge Rd,Bollinger Canyon Road and Gale Ridge Road,37.772393,-121.932342,0,,1
2046,832046,Bollinger Canyon Rd + Main Branch Rd,Bollinger Canyon Road and Main Branch Road,37.769218,-121.908699,0,,1
1593,831593,Bollinger Canyon Rd + Norris Canyon Rd,Bollinger Canyon Road and Norris Canyon Road,37.763731,-121.982729,0,,1
1585,831585,Bollinger Canyon Rd + Norris Canyon Rd,Bollinger Canyon Road and Norris Canyon Road,37.763477,-121.98275,0,,1
1589,831589,Bollinger Canyon Rd + San Ramon Valley Blvd,Bollinger Canyon Road and San Ramon Valley Boulevard,37.759431,-121.968682,0,,1
